Id,Name,InternalName,Description,UiTextureKitId,RewardQuestId,VisibilityConditionId
"1","War Campaign","Alliance War Campaign","As a champion of the Alliance it is your duty to help the war effort against the Horde and their new allies.","261","0","86702"
"2","War Campaign","Horde War Campaign","For the Horde!","262","0","86703"
"3","Test Campaign","[Internal] Test Campaign","","261","52262","5703"
"111","The Master of Revendreth","9.0 Shadowlands - Narrative Arc - Revendreth (ZTO)","Sire Denathrius may know the secrets to ending the anima drought. Venture into his realm of Revendreth to learn more.","5279","0","76298"
"113","Venthyr Campaign","9.0 Shadowlands - Covenant Campaign - Revendreth (ZTO)","The road to redemption for Revendreth is a long one, and the Dark Prince of Sinfall is ready to walk it. He will need your help if he is to wrest control of Revendreth from the clutches of the Master and his loyalists.","5285","0","76299"
"114","Bastion","9.0 Shadowlands - Narrative Arc - Bastion - GJC","You have been sent to investigate the mysterious Mawsworn kyrian you encountered within the Maw. Only the Archon who oversees Bastion will know their true nature.","5280","0","77903"
"115","The Art of War","9.0 Shadowlands - Covenant Campaign - Maldraxxus  (MDE)","The ambitious Necrolords face a threat of extinction at their own hand. Your presence will forge disparate fragments into an army capable of challenging fate itself.","5287","0","78568"
"117","Night Fae Campaign","9.0 Shadowlands - Covenant Campaign - Ardenweald  (KRB)","The groves of Ardenweald are dying. As each great celestial tree falls, the Winter Queen's desperation grows. The Queen and her Court of Night need your help to restore balance to the forest.","5302","0","78569"
"118","Blade of the Primus","9.0 Shadowlands - Narrative Arc - Maldraxxus - SJC","The armies of Maldraxxus have assaulted Bastion. You have been sent into this wartorn realm to discover the reason why.","5282","0","88931"
"119","Kyrian Campaign","9.0 Shadowlands - Covenant Campaign - Bastion - GJC","The noble kyrian of Bastion face dire circumstances with the impending Forsworn forces threatening to unravel their realm. They will need your aid if they are to reclaim Bastion and save the Shadowlands.","5283","0","78609"
"124","The Groves of Ardenweald","9.0 Shadowlands - Narrative Arc - Ardenweald (ZTO/KRB)","You bear an important message for the Winter Queen. Seek her out in the celestial groves of Ardenweald.","5301","0","84196"
"125","Shadowlands Campaign","9.0 Shadowlands Campaign - TSH/ZTO/SMD","This is the general Campaign bucket for players who are between campaigns in Shadowlands.","5362","0","86414"
"126","The Looming Dark","9.0 Shadowlands - Covenant Campaign - Oribos - Campaign Bridge to Covenant Choice","With Denathrius's scheme exposed, you must decide how to respond.","5284","0","85641"
"130","Shadowlands","9.0 Shadowlands - Alt Mode Flagging (Not a Real Campaign) - GJC","","0","0","5703"
"131","Threads of Fate","9.0 Shadowlands - Alt Mode / Time Skip Mode - GJC","","0","0","87258"
"133","Covenant Tutorials","9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Bastion - GJC","","0","0","5703"
"134","Covenant Tutorials","9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Maldraxxus - GJC","","0","0","5703"
"135","Covenant Tutorials","9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Ardenweald - Yes Play - GJC","","0","0","5703"
"136","Covenant Tutorials","9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Ardenweald - No Play - GJC","","0","0","5703"
"137","Covenant Tutorials","9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Revendreth - GJC","","0","0","5703"
