Id,Name,InternalName,Description,UiTextureKitId,RewardQuestId,VisibilityConditionId
"1","阵营战役","Alliance War Campaign","身为联盟的勇士，你的职责是增援战事，对抗部落和他们的新盟友。","261","0","86702"
"2","阵营战役","Horde War Campaign","为了部落！","262","0","86703"
"3","Test Campaign","[Internal] Test Campaign","","261","52262","5703"
"111","雷文德斯的主宰者","9.0 Shadowlands - Narrative Arc - Revendreth (ZTO)","雷文德斯大帝可能知道某些秘密，可以终结这场心能枯竭。深入他在雷文德斯的国度，了解更多情报。","5279","0","76298"
"113","温西尔战役","9.0 Shadowlands - Covenant Campaign - Revendreth (ZTO)","雷文德斯的救赎之路极其艰险，但堕罪堡的黑暗王子已经准备好踏上这条路了。他需要你的帮助才能从主宰者极其爪牙手中夺得对雷文德斯的控制权。","5285","0","76299"
"114","晋升堡垒","9.0 Shadowlands - Narrative Arc - Bastion - GJC","你被派遣前去调查在噬渊里遇到的神秘渊誓格里恩。只有统御晋升堡垒的执政官才知道他们的身份。","5280","0","77903"
"115","The Art of War","9.0 Shadowlands - Covenant Campaign - Maldraxxus  (MDE)","野心勃勃的通灵领主的土地也面临着灭绝的危机。你的到来将使迥然不同的残部重新融合为一支足以挑战命运的大军。","5287","0","78568"
"117","法夜战役","9.0 Shadowlands - Covenant Campaign - Ardenweald  (KRB)","炽蓝仙野的林地濒临灭亡。每一棵天界巨树陨落，寒冬女王的绝望都会滋长。女王和她的魅夜王庭需要你的帮助才能恢复森林的平衡。","5302","0","78569"
"118","兵主之刃","9.0 Shadowlands - Narrative Arc - Maldraxxus - SJC","玛卓克萨斯的大军突袭了晋升堡垒。你受命前往这个战痕密布的国度，从而探究原因。","5282","0","78570"
"119","格里恩战役","9.0 Shadowlands - Covenant Campaign - Bastion - GJC","晋升堡垒高贵的格里恩面临着危险的局面，弃誓者部队大有扫平国度之势。格里恩如果希望夺回晋升堡垒，拯救暗影界，就需要你的帮助。","5283","0","78609"
"124","炽蓝仙野的林地","9.0 Shadowlands - Narrative Arc - Ardenweald (ZTO/KRB)","你有个重要的消息要带给寒冬女王。去炽蓝仙野的天界林地找她。","5301","0","84196"
"125","暗影界战役","9.0 Shadowlands Campaign - TSH/ZTO/SMD","这是给位于战役之间的玩家分类的一般性战役。","5362","0","86414"
"126","黑暗迫近","9.0 Shadowlands - Covenant Campaign - Oribos - Campaign Bridge to Covenant Choice","德纳修斯已经图穷匕见，你必须决定如何回应。","5284","0","85641"
"130","暗影界","9.0 Shadowlands - Alt Mode Flagging (Not a Real Campaign) - GJC","","0","0","5703"
"131","命运丝线","9.0 Shadowlands - Alt Mode / Time Skip Mode - GJC","","0","0","87258"
"132","暗影界","9.0 Revendreth - Ember Court - Interal Testing (Not a Real Campaign)","","0","0","5703"
"133","盟约教学","9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Bastion - GJC","","0","0","5703"
"134","盟约教学","9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Maldraxxus - GJC","","0","0","5703"
"135","盟约教学","9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Ardenweald - Yes Play - GJC","","0","0","5703"
"136","盟约教学","9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Ardenweald - No Play - GJC","","0","0","5703"
"137","盟约教学","9.0 Shadowlands - Alts - Cov 1 Tutorial Flagging (Not a Real Campaign) - Revendreth - GJC","","0","0","5703"
