Id,Name,ResourceName,Verb,CursorName
"1","开锁","锁上的物品","开锁","PickLock"
"2","草药学","药草","采集","GatherHerbs"
"3","采矿","矿点","采矿","Mine"
"4","解除陷阱","陷阱","解除",""
"5","打开","未锁上的物品","打开",""
"6","Treasure (DND)","宝物","",""
"7","Calcified Elven Gems (DND)","Calcified Elven Gems","",""
"8","关闭","未锁上的物品","关闭",""
"9","设置陷阱","陷阱","设置",""
"10","快速打开","未锁上的物品","打开",""
"11","快速关闭","未锁上的物品","关闭",""
"12","Open Tinkering","未锁上的物品","打开",""
"13","Open Kneeling","未锁上的物品","打开",""
"14","Open Attacking","未锁上的物品","打开",""
"15","Gahz'ridian (DND)","加兹瑞迪安","",""
"16","Blasting","锁上的物品","冲击",""
"17","PvP开启","未锁上的物品","打开",""
"18","PvP关闭","未锁上的物品","关闭",""
"19","钓鱼","钓鱼","钓鱼","FishingCursor"
"20","铭文","书典","译解",""
"21","从载具上打开","未锁上的物品","打开",""
"22","考古学","碎片","调查",""
"23","PvP快速开启","未锁上的物品","开启",""
"28","伐木场","木材","收获","HarvestTimber"
"29","剥皮","皮革","剥皮","skin"
"30","远古魔力","魔力矿脉","精粹","Extract"
"31","战况板","战况板","观察",""
"32","草药学","草药","采集","GatherHerbs"
"33","草药学","草药","采集","GatherHerbs"
"34","草药学","草药","采集","GatherHerbs"
"35","草药学","草药","采集","GatherHerbs"
"36","草药学","草药","采集","GatherHerbs"
"37","草药学","草药","采集","GatherHerbs"
"38","草药学","草药","采集","GatherHerbs"
"39","草药学","草药","采集","GatherHerbs"
"40","采矿","矿点","采矿","Mine"
"41","采矿","矿点","采矿","Mine"
"42","采矿","矿点","采矿","Mine"
"43","采矿","矿点","采矿","Mine"
"44","采矿","矿点","采矿","Mine"
"45","采矿","矿点","采矿","Mine"
"46","采矿","矿点","采矿","Mine"
"47","采矿","矿点","采矿","Mine"
"48","剥皮","皮革","剥皮","skin"
"149","打开（锁上的背包物品打开）","未锁上的物品","打开",""
"150","搜索","搜索","搜索","ForagePlants"
"152","蜜胶块","蜂蜜","采集",""
